vacancy_name,company,link,salary_min,salary_max,salary_currency
Middle backend-разработчик Python,ИТЕРАНЕТ,https://reutov.hh.ru/vacancy/76140465?from=vacancy_search_list&query=python,,,not stated
Python-разработчик (команда SberWorks),Сбер для экспертов,https://reutov.hh.ru/vacancy/76940066?from=vacancy_search_list&query=python,,,not stated
Ведущий разработчик Python,ООО ИЦ АЙ-ТЕКО,https://reutov.hh.ru/vacancy/76963001?from=vacancy_search_list&query=python,,,not stated
Инженер-программист Python,Cloud,https://reutov.hh.ru/vacancy/76827205?from=vacancy_search_list&query=python,,,not stated
Разработчик на python в команду новых сервисов,ООО Ритм,https://reutov.hh.ru/vacancy/75770861?from=vacancy_search_list&query=python,,,not stated
Ведущий программист / разработчик Linux,МД Информационные Системы,https://reutov.hh.ru/vacancy/76676726?from=vacancy_search_list&query=python,300000.0,,руб.
Senior Python developer,S8 Capital,https://reutov.hh.ru/vacancy/76843545?from=vacancy_search_list&query=python,,400000.0,руб.
Инженер-программист,ГКУ города Москвы Центр занятости населения города Москвы,https://reutov.hh.ru/vacancy/73126030?from=vacancy_search_list&query=python,60000.0,120000.0,руб.
Программист С++ Senior,ООО Дубайт,https://reutov.hh.ru/vacancy/71147159?from=vacancy_search_list&query=python,400000.0,700000.0,руб.
Middle Python Developer,53x Apps,https://reutov.hh.ru/vacancy/76914637?from=vacancy_search_list&query=python,100000.0,200000.0,руб.
Python developer,HR Prime,https://reutov.hh.ru/vacancy/76684674?from=vacancy_search_list&query=python,,350000.0,руб.
"Backend разработчик Middle +, Senior (Python, Go)",ООО Инновационный центр КАМАЗ,https://reutov.hh.ru/vacancy/76345518?from=vacancy_search_list&query=python,200000.0,,руб.
Тестировщик,ООО Зебра-ПР,https://reutov.hh.ru/vacancy/76161001?from=vacancy_search_list&query=python,50000.0,70000.0,руб.
Аналитик данных (SQL),PA Profrecrut (ИП Камовская Ирина Вячеславовна),https://reutov.hh.ru/vacancy/76785567?from=vacancy_search_list&query=python,120000.0,150000.0,руб.
Backend-разработчик на Python,KALABI,https://reutov.hh.ru/vacancy/76645631?from=vacancy_search_list&query=python,180000.0,,руб.
Senior Python Developer (System Integration Testing),NetworkOptix,https://reutov.hh.ru/vacancy/72424557?from=vacancy_search_list&query=python,4000.0,,USD
Backend разработчик (Python),INSITECH Development,https://reutov.hh.ru/vacancy/75780109?from=vacancy_search_list&query=python,,,not stated
Младший аналитик в Методологической группе,АО Аналитическое кредитное рейтинговое агентство (АКРА),https://reutov.hh.ru/vacancy/76870023?from=vacancy_search_list&query=python,,,not stated
Game Analyst (игровой аналитик),Gear Games,https://reutov.hh.ru/vacancy/76254367?from=vacancy_search_list&query=python,,,not stated
Senior/Middle Python разработчик,"Лента, федеральная розничная сеть, IT ",https://reutov.hh.ru/vacancy/74351176?from=vacancy_search_list&query=python,,,not stated
Data analyst,билайн: Контактные центры,https://reutov.hh.ru/vacancy/75520500?from=vacancy_search_list&query=python,,,not stated
Python-developer,WILDBERRIES,https://reutov.hh.ru/vacancy/73253176?from=vacancy_search_list&query=python,,,not stated
Тим/Тех лид Python,ADV/web-engineering,https://reutov.hh.ru/vacancy/76801419?from=vacancy_search_list&query=python,,,not stated
Аналитик-разработчик в антифрод Такси,Яндекс,https://reutov.hh.ru/vacancy/76152322?from=vacancy_search_list&query=python,,,not stated
Senior Python разработчик (Django),Группа Самолет,https://reutov.hh.ru/vacancy/77002836?from=vacancy_search_list&query=python,,,not stated
Backend Developer (Python) Middle+ / Team Lead,АО СмартРейс,https://reutov.hh.ru/vacancy/76889492?from=vacancy_search_list&query=python,150000.0,300000.0,руб.
Преподаватель программирования Scratch/3D в онлайн-школу для детей (удаленно),Компьютерная школа IT-Compot,https://reutov.hh.ru/vacancy/76264830?from=vacancy_search_list&query=python,25000.0,60000.0,руб.
Lead Python developer,"Агентство 21 век, КЦ",https://reutov.hh.ru/vacancy/76856894?from=vacancy_search_list&query=python,,400000.0,руб.
Программист Linux,ООО Фактор-ТС,https://reutov.hh.ru/vacancy/76592132?from=vacancy_search_list&query=python,100000.0,500000.0,руб.
Data scientist (math modeling),ITSS,https://reutov.hh.ru/vacancy/76674451?from=vacancy_search_list&query=python,4000.0,10000.0,USD
Инженер инфраструктуры / DevOps / SRE,Баззула Интернет Технологии,https://reutov.hh.ru/vacancy/76688347?from=vacancy_search_list&query=python,200000.0,250000.0,руб.
Тестировщик (Automation engineer Selenium),"СОКБ, НИИ",https://reutov.hh.ru/vacancy/76346773?from=vacancy_search_list&query=python,140000.0,,руб.
Преподаватель КиберШколы,ООО Азбука Игры,https://reutov.hh.ru/vacancy/76725442?from=vacancy_search_list&query=python,40000.0,100000.0,руб.
"Репетитор по программированию в начальной школе (Sсratch, Python)",ООО Онлайн-школа Фоксфорд,https://reutov.hh.ru/vacancy/75986700?from=vacancy_search_list&query=python,,,not stated
Fullstack Python Developer / Python Разработчик,"Группа компаний «Group4Media», Управляющая компания",https://reutov.hh.ru/vacancy/76399952?from=vacancy_search_list&query=python,,,not stated
Mid/Mid+ Data Scientist,Платформа ОФД,https://reutov.hh.ru/vacancy/76396688?from=vacancy_search_list&query=python,,,not stated
Python-разработчик,ООО Ред Софт,https://reutov.hh.ru/vacancy/75578822?from=vacancy_search_list&query=python,,,not stated
Tech Lead Python (Django),Группа Самолет,https://reutov.hh.ru/vacancy/75762841?from=vacancy_search_list&query=python,,,not stated
Репетитор по программированию (Рython) для 5-11 классов,ООО Онлайн-школа Фоксфорд,https://reutov.hh.ru/vacancy/75986190?from=vacancy_search_list&query=python,,,not stated
TeamLead Python/C++,Ювенко,https://reutov.hh.ru/vacancy/76454509?from=vacancy_search_list&query=python,,,not stated
Python-разработчик (видеохостинг),"VK, Дзен",https://reutov.hh.ru/vacancy/76032303?from=vacancy_search_list&query=python,,,not stated
Аналитик-разработчик в качество Геопоиска,Яндекс,https://reutov.hh.ru/vacancy/75721291?from=vacancy_search_list&query=python,,,not stated
Middle/Senior Python Developer,FunBox,https://reutov.hh.ru/vacancy/76151291?from=vacancy_search_list&query=python,,,not stated
Аналитик данных,ООО Онпоинт,https://reutov.hh.ru/vacancy/76323720?from=vacancy_search_list&query=python,,,not stated
Python Developer (KATA),Лаборатория Касперского,https://reutov.hh.ru/vacancy/76804927?from=vacancy_search_list&query=python,,,not stated
Программист,ООО ВАЙФАЙНДЕР,https://reutov.hh.ru/vacancy/76005577?from=vacancy_search_list&query=python,100000.0,,руб.
"Программист на языке Си (автоматизация тестирования API, junior)",ООО Фирма Инфокрипт,https://reutov.hh.ru/vacancy/76289865?from=vacancy_search_list&query=python,40000.0,70000.0,руб.
Стажер в команду продукта Строки,"ПАО «МТС», Стажировки",https://reutov.hh.ru/vacancy/76906577?from=vacancy_search_list&query=python,,60000.0,руб.
Middle DevOps-инженер (Сербия),ООО МШП,https://reutov.hh.ru/vacancy/76111939?from=vacancy_search_list&query=python,2500.0,3000.0,EUR
Тестировщик ПО (Python),EFIX GROUP,https://reutov.hh.ru/vacancy/73037104?from=vacancy_search_list&query=python,,250000.0,руб.
Инженер-программист,ОАО НПП Темп им. Ф. Короткова,https://reutov.hh.ru/vacancy/76150077?from=vacancy_search_list&query=python,130000.0,,руб.
Инженер внедрения программного обеспечения,ООО ЭВРИТЕГ,https://reutov.hh.ru/vacancy/75556406?from=vacancy_search_list&query=python,,170000.0,руб.
Python-разработчик,ЛитРес,https://reutov.hh.ru/vacancy/71525700?from=vacancy_search_list&query=python,,,not stated
Младший научный сотрудник (программное обеспечение),ФГУП Центральный научно-исследовательский институт химии и механики,https://reutov.hh.ru/vacancy/66231811?from=vacancy_search_list&query=python,,,not stated
Инженер внедрения стека DevSecOps,Swordfish Security,https://reutov.hh.ru/vacancy/71934284?from=vacancy_search_list&query=python,,,not stated
"Ревьюер курса ""Тестирование веб-приложений на python""",Яндекс Практикум,https://reutov.hh.ru/vacancy/76567867?from=vacancy_search_list&query=python,,,not stated
Python developer (Machine Learning Engineer),Сбер. Data Science,https://reutov.hh.ru/vacancy/76654024?from=vacancy_search_list&query=python,,,not stated
R&D engineer,AERODISK,https://reutov.hh.ru/vacancy/76330537?from=vacancy_search_list&query=python,,,not stated
Младший консультант в группу управления финансовыми рисками,Kept (Кэпт),https://reutov.hh.ru/vacancy/71910888?from=vacancy_search_list&query=python,,,not stated
